Term1,Term2,label
tremors,classification,0
amplify,spends,0
paranoia,lose,0
microtechniques,jumbo,0
arthralgia,chyluria,1
shortly,tooth,0
urethrorrhea,tremor,1
reticulocytosis,aspirin,1
leukopenia,penicillin,1
agrees,protocols,0
prefers,macrodantin,0
kempt,squeezing,0
fibrillation,atenolol,1
maximized,xx,0
spreading,pyrosis,0
colchicine,prednisolone,1
heartburn,pepcid,1
hospice,fev,0
rotational,oculovestibular,0
agitation,morphine,1
calvarial,couplets,0
profusely,staged,0
trach,retic,0
dramatic,cuts,0
signatures,buccal,0
rabies,head-face-neck-syndrome,1
co,effusions,0
proportionate,puckered,0
gastroenteritis,insulin,1
doxycyline,penicillin,1
lymphangiectasia,imuran,0
sport,rf,0
resolved,cumulative,0
neuropathy,syphilis,1
thrombophilias,coumadin,1
half,surround,0
nonverbal,myoclonus,0
hunger,starvation,1
femara,walled,0
alleviate,gastroenterologist,0
should,scapula,0
cirrhosis,zocor,1
clubbing,spiriva,1
chloramphenicol,ceftiaxone,1
wince,bowel,0
sclerae,ucsf,0
reconstituted,biceps,0
nafcillin,veering,0
arthralgia,neuralgia,1
wedges,zones,0
appendicitis,peritonitis,1
lip,weighs,0
carsickness,nausea,1
catamenial,pools,0
surgery,medications,0
lymphatics,weber,0
antiembolic,bruce,0
euthymic,multiphase,0
retrieved,crackles,0
entering,curves,0
uremias,emaciation,1
modulon,rhf,0
nonfocal,asbestos,0
saved,puffs,0
subfascial,dimension,0
singulair,telescope,0
able,discussion,0
carrots,uncles,0
sciatica,motrin,1
encircled,striking,0
questionable,indicated,0
meningism,hyperesthesia,1
increased,acted,0
zithromax,reciprocal,0
ischemias,lipitor,1
explainable,hemorrhoidal,0
uptake,insufflating,0
penicillin,environment,0
delusions,intestine,0
proteinuria,diabetes,1
thromboembolism,hemoptysis,1
nebulated,cataract,0
artifact,scores,0
lymphatics,infused,0
just,carbatrol,0
severed,amoxacillin,0
arteriosclerosis,ischemias,1
ischemias,aloe vera,1
endocrinologist,completes,0
levo,criteria,0
prolapse,incisions,0
tuberculosis,hemoptysis,1
compression,responsible,0
multilobular,intubated,0
overnutrition,seizures,1
lingular,orbits,0
antiplatelet,lewis,0
gentamicin,reliably,0
chyluria,menouria,1
sluggishness,fatigue,1
treatment,cleared,0
compounded,bag,0
hypersomnolence,snoring,1
ileostomy,articulate,0
hemophilia,thromboembolism,1
tries,intrathoracic,0
underway,extrapyramidal,0
prescrubbed,ue,0
epilepsy,ischemia,1
paid,addition,0
smallpox,vaccinia,1
entailed,actual,0
woken,vent,0
acidosis,at,0
native,behavior,0
photosensitivity,timed,0
cpt,monogamous,0
sensorineural,tied,0
lipitor,lovastatin,1
grey,chronic,0
narrative,antegrade,0
stays,uncovertebral,0
parasternal,lopid,0
scientific,unobtainable,0
coupled,peripherally,0
anoxemia,propofol,1
retropulsion,cesarean,0
tia,transferring,0
liters,core,0
adrenals,cannulas,0
cartridge,turning,0
quinine,repositioning,0
cardiomyopathy,angina,1
slight,superomedial,0
gonorrhea,xenical,1
allergy ,meningism,1
cardiomyopathy,rales,1
procainamide,density,0
anosmia,catch,1
suspect,sinemet,0
therapeutic,trigemini,0
respect,intervertebral,0
ethanol,alcohol,1
spring,flomax,0
belt,levophase,0
diuresis,engulfed,0
diabetes,insulin,1
infarct,brachium,0
syllable,surgeons,0
vasculitis,convulsion,1
virilism,drooling,1
candidiasis,mycosis,1
folstein,diffusely,0
penicillin,cefazolin,1
rabies,acne,1
angina,levophed,1
hi,progression,0
conclusion,mornings,0
diurese,spring,0
pneumonia,cyanosis,1
hgb,directions,0
glaucoma,fibrillation,1
sequential,mmhg,0
polyarthritides,arthralgia,1
final,lumen,0
diabetes,hyperglycemia,1
walker,sons,0
probability,vasculopathy,0
dyspnea,serevent,1
diaphoretic,stenting,0
elevation,placed,0
clubbing,garlic,1
inadvertently,eeg,0
fashion,donovan,0
mycosis,pain,1
seamguard,gaze,0
lighting,reconstituted,0
initiating,bank,0
control,aidp,0
reminders,rounds,0
dyspnea,medrol,1
loperamide,dulcolax,1
into,plantars,0
hemorrhagic,throw,0
creams,void,0
clubbing,dyspnea,1
thirsty,hunger,1
diarrhea,colchicine,1
rales,cyanosis,1
bilirubin,spending,0
lh,incising,0
ports,moving,0
cataracts,narcan,1
gene,cavum,0
polyuria,ketonuria,1
rheumatism,sleeplessness,1
diarrhea,cefaclor,1
cefepime,bacitracin,1
side,subfascial,0
gonorrhea,plavix,1
motor,warren,0
goiter,vasculitis,1
coccidioses,medrol,1
urease,plom,0
indefinitely,thoughts,0
value,characteristics,0
couple,defecating,0
gelatinous,gastroepiploic,0
rib,reapplied,0
amantadine,tamiflu,1
nocturia,bacitracin,1
subtentorial,curve,0
evaluations,calculated,0
multifocal,niaspan,0
stages,babinski,0
rolling,opposed,0
nocardia,hip,0
carbatrol,dilantin,1
consistencies,operative,0
ulcer,tenacious,0
ptca,frequent,0
plague,vivarin,1
dermatitis,allergy ,1
instrumented,emesis,0
endoclip,hemostated,0
spasm,lasix,1
dyspnea,cyanosis,1
zyvox,headedness,0
septicemia,dyspnea,1
thanks,traveling,0
exact,differences,0
circuit,reattachment,0
erythromycin,lidocaine,1
squeezing,neurosurgery,0
welled,malleable,0
diurese,ataxia,0
summarize,paraesophageal,0
comatose,anoxemia,1
watery,graspers,0
bronchiectasis,admitting,0
retroperitoneum,occur,0
ischemias,drooling,1
psoriasis,atherosclerosis,1
disclosing,thomason,0
orientation,shaking,0
jejunostomy,occupying,0
lessened,accutane,0
metal,esophageal,0
acted,winslow,0
retroflexed,ph,0
dermabond,mentions,0
vancocin,glucotrol,1
proptosis,retry,0
snoring,ethanol,1
glaucoma,headache,1
approached,rheumatoid,0
kumpe,gastroenteritis,0
neuropathy,diabetes,1
swims,igg,0
sometime,circumflex,0
equivocal,investigate,0
angioplasty,targets,0
sugita,anterograde,0
tensilon,tectum,0
exercised,catch,0
bronchitis,loperamide,1
atherosclerosis,cardialgia,1
ketonuria,insulin,1
call,mechanic,0
ingest,neuron,0
fights,holding,0
roussy,attachments,0
hyperoxia,xenical,1
brucellosis,zoonosis,1
catapres,toprol-xr,1
halves,occlusion,0
convulsion,carbatrol,1
charges,feeble,0
hemochromatosis,anosmia,1
mittelschmerz,aphonia,1
exchanger,steroid,0
recollection,cannulation,0
snoring,stridor,1
emergence,east,0
nice,forcefully,0
dermatitis,aloe vera,1
cicatrix,bmi,0
arteriosclerosis,cholestyramine,1
atp,confusion,0
thalassemia,tremor,1
nagging,fingers,0
dysuria,plavix,1
antineuronal,vitamins,0
histoplasmosis,prednisolone,1
sort,accumulation,0
mycosis,carboplatin,1
convulsion,epilepsy,1
atherosclerosis,influenzae,1
crack,blocks,0
avoidance,limited,0
tiredness,hypersomnolence,1
absence,proceed,0
anastamosis,fiorinal,0
v,cervico,0
supplying,djd,0
visions,counter,0
approved,biceps,0
aloe vera,vicodin,1
gallstones,liked,0
acetylcysteine,adenosine,1
shouting,undrained,0
silvadene,ketamine,1
cromolyn,prednisolone,1
osteoporosis,prednisolone,1
sharply,scout,0
temple,stalk,0
relaxants,mastoids,0
napping,abc,0
officer,lapses,0
newspapers,clotest,0
sibling,altered,0
durotomy,off,0
arch,rapd,0
dexamethasone,actonel,1
newspapers,spondylosis,0
stood,bronchi,0
p,breakfast,0
weakness,paresis,1
world,heartburn,0
anosmia,constipation,1
microtechniques,formation,0
cheese,clip,0
prostatism,cipro,1
surgicel,except,0
levoxyl,cap,0
stays,invited,0
uvula,nonocclusive,0
clock,contracted,0
candidiasis,prostatorrhea,1
conduction,fontan,0
titer,correlate,0
directions,circulatory,0
mycosis,histoplasmosis,1
bladeless,preliminary,0
phonemic,folstein,0
fibrillation,calamine,1
conservative,sooner,0
spasm,opisthotonus,1
fibrillation,coumadin,1
pediatrician,insignificant,0
artifacts,ischemic,0
effacement,elongation,0
canal,void,0
show,ultravist,0
studding,hypodense,0
curbs,forwarded,0
syncope,weakness,1
herpes,cholestasis,1
appreciable,constructive,0
protonix,tums,1
seroconversion,like,0
lot,transfusions,0
mci,protrusion,0
scintigraphic,tricuspid,0
ideal,pgf,0
hemicrania,nitroglycerine,1
fish oil,zocor,1
protonix,myelocytes,0
zoonosis,babesiosis,1
vertebral,obtain,0
glucotrol,motrin,1
bpx,immunization,0
awoken,shavings,0
hemiplegia,plavix,1
seasickness,ethanol,1
reactivity,glover,0
epilepsy,ativan,1
fainting,pegboard,0
alcohol,groin,0
fibrillation,angina,1
pursuits,he,0
levaquin,avelox,1
must,aroused,0
diabetes,psoriasis,1
pupil,suffered,0
rheumatism,colchicine,1
duraseal,mylanta,0
procedures,sleepy,0
solutab,mid,0
walker,ketones,0
seizures,calamine,1
dosage,flaps,0
cutter,vascularized,0
team,die,0
checkbook,bellaire,0
effusions,fish,0
carboplatin,zofran,1
importance,dumon,0
hemochromatosis,arthralgia,1
micronase,antihypertensive,0
characterization,undersurface,0
tiredness,calan,1
lesions,pseudogaze,0
conversion,recognition,0
tonic,syndrome,0
drooling,chills,1
minipress,morphology,0
family,irritation,0
asthma,urolithiasis,1
voiced,infrared,0
nocturia,ethanol,1
dining,available,0
timing,elevates,0
xerosis,averaging,0
guidant,ac,0
mood,specified,0
mycosis,coccidioses,1
phosphate,ivus,0
these,ti,0
brenner,hyoid,0
fein,sinemet,0
activase,streptase,1
depressions,blind,0
les,wbc,0
cbz,maneuvers,0
hyperesthesia,nonobstructed,0
ensured,honeymoon,0
seizures,carbatrol,1
hepatitis,tylenol,1
avf,blockers,0
orthotopic,uterus,0
steroid,anteromedial,0
glomerulosclerosis,proteinuria,1
pancreatitis,insulin,1
cronic,ampulla,0
photosensitization,aphonia,1
fibrillation,synthroid,1
rheumatism,tylenol,1
synthroid,lidocaine,1
broken,mainly,0
hypoproteinemia,hunger,1
hypoproteinemia,hunger,1
hook,mini,0
et,tibialis,0
psychologist,longer,0
rinse,limitation,0
dyspeptic,velocity,0
bare,loss,0
essential,dullness,0
angioplasties,hippocampus,0
comatose,hyperglycemia,1
doughnuts,cardiac,0
aspirin,medial,0
inflammation,per,0
nsg,monocytes,0
spiriva,serevent,1
later,mayo,0
rd,ckmb,0
uti,iliac,0
contacted,excluding,0
cane,render,0
avelox,palate,0
meningitis,meningism,1
strongly,swings,0
tiredness,atenolol,1
evaluation,bill,0
sites,return,0
breckenridge,blocker,0
interrogated,cholecystemomy,0
incidental,hyperintense,0
osteoporosis,thrombus,1
aneursym,discussion,0
predilatation,torsion,0
elective,micrograms,0
massive,et,0
intraabdominal,intraluminal,0
plane,conventional,0
influenza,pneumoniae,1
boggy,struggled,0
knees,corona,0
explicitly,nadir,0
torticollis,spasm,1
asahi,perimenopausal,0
hemophilia,glucotrol,1
angina,plavix,1
staff,acetic,0
prostatorrhea,cipro,1
antiemetics,definitive,0
jacksonian,polarity,0
pain,morphine,1
repeating,peel,0
pets,diagonal,0
tpa,realizing,0
colitis,epilepsy,1
retrocecal,serosanguinous,0
interanl,saphenous,0
progressed,cavum,0
pallor,aspirin,1
nab,trivial,0
seizures,valproic acid,1
necessitated,ancef,0
subside,psyche,0
hydrated,oozing,0
pallor,blanching,1
explicit,pectodeltoid,0
struggling,comment,0
xyz,pylorus,0
bandemia,nausea,1
weakness,emaciation,1
magnevist,lucidly,0
pneumoniae,ceftiaxone,1
heparin,protamine sulfate,1
photosensitization,dermatitis,1
bronchitis,pneumonia,1
intermixed,dissectors,0
hurting,annulus,0
ddd,vanderbilt,0
myositis,myopathy,1
form,confrontation,0
arthritis,amyloidoses,1
cleveland,collar,0
incontinence,nab,0
uremias,motrin,1
distressed,paddles,0
hernias,dementia,1
rpr,workup,0
aired,hypotensive,0
rigid,methods,0
maculopapule,macule,1
tense,loading,0
hammer,pursued,0
sutures,quality,0
buttocks,forearm,0
paraparesis,herbicide,0
prn,afb,0
gastrectomy,f,0
rinne,anticonvulsant,0
hemochromatosis,vermox,1
dyspnea,narcan,1
psoriasis,meningism,1
goiter,scleroderma,1
hyperacusis,bleomycin,1
handling,walter,0
ampicillin,amoxil,1
dehydration,starvation,1
lifts,frontotemporoparieto,0
infratentorial,tortuosity,0
endoscope,safety,0
leaving,specialist,0
normochromic,microwave,0
quiet,equina,0
thromboembolism,heparin,1
duct,mentation,0
uremias,pyorrhea,1
porcine,intially,0
quire,broadly,0
scintigraphic,ordering,0
central,solutions,0
bedridden,packing,0
infertility,anovulation,1
rare,radius,0
adenitis,stridor,1
hectic,openings,0
cirrhosis,hemochromatosis,1
wellbutrin,endep,1
sequences,placing,0
calamine,bleomycin,1
meningitis,headache,1
ellipse,negotiation,0
francisco,medically,0
nonhealing,measurement,0
ex,extubated,0
satisfied,blend,0
spared,excluded,0
subserosal,methodist,0
postprocedure,conservatively,0
zoonosis,plague,1
tremor,sinemet,1
brucellosis,narcan,1
spiral,paralegal,0
primidone,raise,0
avoiding,overbreathing,0
infiltrated,packs,0
your,adult,0
faucial,coils,0
hemochromatosis,polyuria,1
sclera,moyamoya,0
cyanosis,folic acid,1
neurosurgical,puckering,0
arthritis,rheumatism,1
atypical,postangioplasty,0
reattachment,moines,0
seizures,dilantin,1
tolerating,anicteric,0
entailed,invagination,0
viscous,quarter,0
twisted,occult,0
blurring,arise,0
overnutrition,malnutrition,1
clubbed,lightheaded,0
hopkins,birthdate,0
arthritis,arthralgia,1
polydipsia,polyuria,1
questionnaire,clarify,0
enalapril,lisinopril,1
weakness,cortisone,1
giardiasis,avitaminoses,1
rectum,soaks,0
retrolisthesis,purulence,0
aortocoronary,holden,0
nitropaste,deteriorated,0
intima,cloth,0
porous,caval,0
pallor,weakness,1
perhaps,stricturing,0
barbecues,flopping,0
cardura,hytrin,1
pepcid,zantac,1
feldene,constructional,0
hyperthyroidism,seizures,1
amplatz,papilla,0
apex,avoidance,0
detector,bruitt,0
thirsty,lasix,1
berg,repair,0
shimada,spicy,0
peroxide,niddm,0
agitation,synthroid,1
hiding,complex,0
pneumoniae,weakness,1
rabies,silvadene,1
mg,fronto,0
anxious,sleeve,0
fight,intima,0
nares,holden,0
rebuilt,surroundings,0
exophthalmos,synthroid,1
erythromycin,allopurinol,1
newborn,role,0
lasting,thrombi,0
lupus,gluten,0
culture,bachelor,0
banana bag,vitamin b1,1
rales,lasix,1
parasitemia,cardialgia,1
nocturia,diabetes,1
stridor,snoring,1
york,cheyenne,0
cefaclor,cefoxitin,1
mycosis,prostatism,1
asymmetric,phasic,0
pneumothorax,proceeded,0
dyslipidemia,hyperlipidemia,1
glasses,transfixion,0
certainly,incoherence,0
bue,shouting,0
leukemoid,garden,0
scapulalgia,halitosis,1
histoplasmin,believing,0
gms,snare,0
fragility,stressed,0
clients,feathery,0
does,tool,0
rings,transferred,0
cataracts,scapulalgia,1
atenolol,lasix,1
aged,cancer,0
mb,peak,0
represented,turn,0
dividing,bruits,0
issue,approach,0
autogenous,reddick,0
cost,omnipaque,0
homonymous,fmla,0
bandemia,granulocytosis,1
frontotemporal,laca,0
arthralgia,tylenol,1
kissing,veteran,0
clubbing,constipation,1
atherosclerosis,urethrorrhea,1
plavix,insulin,1
rales,hyperacusis,1
debilitating,beats,0
reducer,insufflating,0
congenital,childhood,0
considerably,magnesium,0
proteinuria,rogaine,1
aqueous,chorea,0
readable,rod,0
plavix,coumadin,1
anteromedially,deficiency,0
identifying,cholestyramine,0
nonocclusive,bump,0
orange,saline,0
task,biceps,0
markers,pseudocyst,0
identification,disengaged,0
epilepsy,hepatomegaly,1
center,shingled,0
vacterl,vocal,0
torsional,muscatine,0
psa,tetrofosmin,0
glyburide,avandia,1
weakness,zocor,1
tegretol,degeneration,0
performances,sibling,0
malformations,happens,0
team,tid,0
oil,depression,0
gait,eureka,0
periatrial,pharyngeal,0
anticoagulated,zone,0
flushing,iron,1
pyorrhea,nephritis,1
barre,bleeding,0
respiration,nature,0
appendicitis,cefazolin,1
such,fed,0
zoloft,driven,0
nitroglycerine,toprol-xr,1
decayed,frameless,0
anovulation,mittelschmerz,1
generalizing,character,0
fissures,enlarged,0
aureus,bruit,0
invasive,dna,0
infused,microfractures,0
blanching,pallor,1
vesicular,vomiting,0
try,arytenoids,0
readvanced,overestimates,0
airsickness,osteoporosis,1
themselves,doxycycline,0
underexertion,virilism,1
clubbing,vitamin k,1
cc,predominant,0
encephalitis,headache,1
healing,collections,0
transmitted,key,0
conferred,confused,0
lembert,glottic,0
polyneuropathy,gastrohepatic,0
transecting,wt,0
thrombophilias,hemoptysis,1
neuropathy,constipation,1
convenience,trigemini,0
anaphylaxis,lovastatin,0
sons,guidewires,0
torticollis,erythromycin,1
headache,flushing,1
survival,adnexal,0
sport,grafts,0
menstrual,diabetic,0
surrounded,stenosis,0
hemiplegia,headache,1
pass,eleven,0
pallor,coumadin,1
proceeded,exposed,0
programmed,teens,0
center,cmb,0
constipation,diarrhea,1
gelatinous,elongation,0
napping,conference,0
gold,latest,0
versed,fetoprotein,0
anemia,coumadin,1
problematic,iv,0
communicates,square,0
axis,evolved,0
hyperacusis,aphonia,1
supranuclear,reattempted,0
seizures,insulin,1
fights,sucks,0
hyperextension,lopid,1
glaucoma,fibrillation,1
unflexed,intraorbital,0
parietotemporal,cannulate,0
cirrhosis,methotrexate,1
scapulalgia,metatarsalgia,1
histiocytes,regardless,0
osseous,spine,0
dehydration,candidiases,1
tree,pains,0
discontinuing,lifted,0
vfend,prozac,1
thromboembolism,coumadin,1
incorporated,av,0
thromboembolism,fibrillation,1
psoriasis,arthritis,1
bronchitis,serevent,1
hepatitis,hepatomegaly,1
musculofascial,convex,0
psoriasis,coreg,1
photopsia,headache,1
diabetes,polydipsia,1
notice,greyed,0
urethrorrhea,aphonia,1
protuberant,rounds,0
grasp,through,0
prograf,include,0
haemorrhoids,infertility,1
preclude,free,0
overlaid,artificial,0
gastroenteritis,cromolyn,1
pancreatitis,maculopapule,1
literally,mastisol,0
widening,cured,0
dyslipidemia,constipation,1
cardiomyopathy,tylenol,1
engineering,genetic,0
bronchitis,singulair,1
meningitis,vancocin,1
aneurysm,osteoporosis,1
acetaminophen,mannitol,0
collection,age,0
shin,sewed,0
playful,spongiform,0
parasitemia,malaria,1
lb,attentional,0
sources,crosssail,0
reprogram,cushion,0
